params,score
"[2.82253902e+00 1.87541791e+00 9.99742439e-02 2.91205312e+00
 5.38717820e+00 5.00165020e+02]",250001.10299609764
"[2.70870022e+00 1.59623888e+00 5.10704212e-02 2.57868394e+00
 5.44782283e+00 4.99992271e+02]",1297.1018628973316
"[2.79075787e+00 1.74480684e+00 9.29860202e-02 2.86042904e+00
 5.28599630e+00 5.00061246e+02]",94250.11528174054
"[2.77798763e+00 1.82181004e+00 5.18713987e-02 2.83542332e+00
 5.31871117e+00 5.00047300e+02]",401.1126629489013
"[2.70648623e+00 1.65272410e+00 1.07619489e-01 2.90088008e+00
 5.31243946e+00 5.00064875e+02]",84682.19304466086
"[2.74137373e+00 1.59731471e+00 5.54980712e-02 2.90182053e+00
 5.34738371e+00 5.00053040e+02]",11026.06724057222
"[2.76691536e+00 1.84675874e+00 1.36446307e-01 2.65255467e+00
 5.19143831e+00 4.99909918e+02]",2602.2047117136362
"[2.83053133e+00 1.68982605e+00 5.72181933e-02 2.79817341e+00
 5.25806959e+00 4.99905722e+02]",167282.09412864485
"[2.70582051e+00 1.80839439e+00 6.22698662e-02 2.63414118e+00
 5.44751850e+00 4.99929692e+02]",31685.042141879712
"[2.75098704e+00 1.74590447e+00 7.34702531e-02 2.65791464e+00
 5.38018817e+00 5.00017186e+02]",4901.19076449114
"[2.78505981e+00 1.71641512e+00 5.85517259e-02 2.84377072e+00
 5.28025214e+00 5.00064469e+02]",52442.078993644514
"[2.80803015e+00 1.97316955e+00 1.96133541e-01 2.68489395e+00
 5.03536365e+00 4.99891918e+02]",131770.12252184754
"[2.77610848e+00 1.70155019e+00 5.01430135e-02 2.80114378e+00
 5.44063758e+00 5.00105802e+02]",61505.098071265245
"[2.86519477e+00 1.52597236e+00 1.24570190e-01 2.86701451e+00
 5.54504231e+00 5.00071522e+02]",7570.1526364982465
"[2.75210833e+00 1.80332354e+00 5.85257242e-02 2.77794199e+00
 5.23573167e+00 5.00051377e+02]",4357.138447702293
"[2.76805804e+00 1.73101102e+00 5.40666617e-02 2.74181255e+00
 5.38580906e+00 4.99835468e+02]",485.1191748410844
"[2.75373812e+00 1.85301692e+00 1.26295206e-01 2.58904509e+00
 5.31903342e+00 4.99927126e+02]",28562.154582179533
"[2.75306707e+00 1.64406347e+00 6.28396000e-02 2.83687095e+00
 5.30043518e+00 5.00008459e+02]",6725.134008683936
